"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","tconst","parentTitle"
"sqs101800229m4","La Fiesta (Ep11)","Television",2016,"USA","Food",7.9,4,NA,"Avec Eric S03"
"sqs101800230m4","Modernist Masters (Ep3)","Television",2016,"USA","Food",7.8,3.9,NA,"Eat the World with Emeril Lagasse"
"sqs101800231m4","Sauces (Ep5)","Television",2017,"GBR","Infotainment",8.3,4.2,NA,"Inside the Factory S03"
"sqs101800232m4","Ep 3 Nigella: At My Table","Television",2017,"GBR","Food",7.5,3.8,NA,"Nigella: At My Table"
"sqs101800233m4","Bundaberg (Ep11)","Television",2016,"AUS","Food",0,3.9,NA,"Surfing the Menu: The Next Generation"
"sqs101800235m4","Little Tools, Big Challenge (Ep4)","Television",2017,"USA","Reality",7.6,3.8,NA,"Top Chef S15"
"sqs101800236m4","This Is Not Glamping (Ep5)","Television",2017,"USA","Reality",7.6,3.8,NA,"Top Chef S15"
"sqs101800237m4","Now That's A Lot Of Schnitzel (Ep6)","Television",2017,"USA","Reality",7.6,3.8,NA,"Top Chef S15"
"sqs101800238m4","Bras (Ep2)","Television",2014,"GBR","Infotainment",0,4,NA,"World's Best Chefs"
"sqs101800242m4","Hanoi (Ep1)","Television",2015,"USA","Travel",8.6,4.3,NA,"Anthony Bourdain: Parts Unknown S08"
"sqs101800243m4","Super Senses (Ep5)","Television",2016,"USA","Variety & Game Shows",8.5,4.3,NA,"Brain Games S07"
"sqs101800244m4","A Whole New Ball Game (Ep3)","Television",2017,"USA","Reality",6.6,3.3,NA,"Cesar Millan's Dog Nation"
"sqs101800245m4","Bert Kreischer/Taryn Manning/Hal Sparks (Ep5)","Television",2017,"USA","Variety & Game Shows",5.8,2.9,NA,"The Comedy Jam"
"sqs101800246m4","Low-Impact House, Pembrokeshire (Ep6)","Television",2016,"GBR","Infotainment",8.6,4.3,NA,"Grand Designs S14"
"sqs101800247m4","Guyana / London (Ep3)","Television",2017,"GBR","Action & Adventure",8.8,4.4,NA,"The Life Swap Adventure"
"sqs101800248m4","Thor God of Blubber (Ep3)","Television",2017,"USA","Reality",7.8,3.9,NA,"My Big Fat Pet Makeover"
"sqs101800250m4","Vanessa Hudgens (Ep10)","Television",2017,"USA","Action & Adventure",7.9,4,NA,"Running Wild with Bear Grylls S03"
"sqs101800251m4","Liyanna, Shaheera and Nina (Ep4)","Television",2017,"SGP","Reality",0,4.1,NA,"Say Yes to the Dress: Asia"
"sqs101800271m4","Healthy Travel Tips from Canyon Ranch®","Television",2018,"SGP","Infotainment",0,4,NA,"Healthy Travel Tips from Canyon Ranch®"
"sqs101800272m4","Stretch & Energize with Canyon Ranch®","Television",2018,"SGP","Infotainment",0,4,NA,"Stretch & Energize with Canyon Ranch®"
"sqs101800253m4","Healing Plants (Ep1)","Television",2018,"CAN","Infotainment",0,4.1,NA,"Ageless Gardens"
"sqs101800254m4","Awake: The Secrets of Sleep","Television",2018,"IRL","Infotainment",0,4.1,NA,"Awake: The Secrets of Sleep"
"sqs101800257m4","Ep 9 Million Dollar Car Hunters","Television",2017,"GBR","Infotainment",0,3.6,NA,"Million Dollar Car Hunters"
"sqs101800258m4","Malibu Castle & Drinks with Mr. Wonderful (Ep1)","Television",2018,"USA","Infotainment",5.9,3,NA,"Secret Lives of the Super Rich S07"
"sqs101800259m4","Portugal (Ep1)","Television",2018,"USA","Infotainment",7.5,3.8,NA,"World's Most Extraordinary Homes S02"
"sqs101800260m4","Switzerland (Ep2)","Television",2018,"USA","Infotainment",7.5,3.8,NA,"World's Most Extraordinary Homes S02"
"sqs101800261m4","Ep 2 Being Serena","Television",2018,"USA","Infotainment",6.1,3.1,NA,"Being Serena"
"sqs101800262m4","Glenn McGrath","Television",2015,"GBR","Infotainment",0,3.5,NA,"Cricket's Greatest"
"sqs101800265m4","Premier League Review of the Season 2017/18","Television",2018,"GBR","Sports",0,4,NA,"Premier League Review of the Season 2017/18"
"sqs101800266m4","Sounds of the NBA Finals 2018","Television",2018,"GBR","Sports",0,4,NA,"Sounds of the NBA Finals 2018"
"sqs101800267m4","Nokia Mobile: We Were Connecting People (Nokia Mobile - Matkapuhelimen tarina)","Television",2017,"FIN","Business",7.1,3.6,NA,"Nokia Mobile: We Were Connecting People (Nokia Mobile - Matkapuhelimen tarina)"
"sqs101800268m4","Eddie Thai (Ep8)","Television",2017,"SGP","Business",0,3.4,NA,"PowerList Asia S06"
"sqs101800269m4","Korea (Ep10)","Television",2017,"SGP","Food Culture",0,3.4,NA,"National Flavours 民族味"
"sqs101800270m4","Afghan At Last (Ep3)","Television",2018,"SGP","Food Culture",0,3.8,NA,"Refugee Chef"
"sqs111800001m4","Closer (Ep5)","Television",2018,"USA","Drama",8.5,4.3,NA,"Sharp Objects"
"sqs111800002m4","Cherry (Ep6)","Television",2018,"USA","Drama",8.5,4.3,NA,"Sharp Objects"
"sqs111800003m4","Falling (Ep7)","Television",2018,"USA","Drama",8.5,4.3,NA,"Sharp Objects"
"sqs111800004m4","Milk (Ep8)","Television",2018,"USA","Drama",8.5,4.3,NA,"Sharp Objects"
"sqs111800005m4","How to Fire a Rifle Without Really Trying (Ep1)","Television",1997,"USA","Comedy",7.3,3.7,NA,"King of the Hill S02"
"sqs111800006m4","Hilloween (Ep6)","Television",1997,"USA","Comedy",7.3,3.7,NA,"King of the Hill S02"
"sqs111800007m4","The Son That Got Away (Ep8)","Television",1997,"USA","Comedy",7.3,3.7,NA,"King of the Hill S02"
"sqs111800008m4","Emancipation (Ep2)","Television",2000,"USA","Comedy",8,4,NA,"Malcolm in the Middle S03"
"sqs111800009m4","Reese Drives (Ep9)","Television",2000,"USA","Comedy",8,4,NA,"Malcolm in the Middle S03"
"sqs111800010m4","Hal Coaches (Ep16)","Television",2000,"USA","Comedy",8,4,NA,"Malcolm in the Middle S03"
