"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore"
"sqm071800010m4","Gemini","Movie",2017,"USA","Thriller","6.20","3.10"
"sqm071800011m4","Permission","Movie",2017,"USA","Drama","5.30","2.70"
"sqm071800012m4","The Pretend One","Movie",2017,"AUS","Drama","0.00","0.00"
"sqm071800013m4","Finding Mom (Momo)","Movie",2017,"FRA","Comedy","4.80","2.40"
"sqm071800014m4","The Full House","Movie",2018,"FRA","Comedy","5.40","2.70"
"sqm071800015m4","The Prayer","Movie",2018,"FRA","Drama","7.40","3.70"
"sqm071800016m4","Suck Me Shakespeer 3","Movie",2017,"DEU","Comedy","5.40","2.70"
"sqm071800017m4","I Can Quit Whenever I Want: Ad Honorem","Movie",2017,"ITA","Comedy","7.00","3.50"
"sqm071800018m4","Empowered","Movie",2018,"ESP","Comedy","7.00","3.50"
"sqm071800019m4","Agent Mr Chan","Movie",2018,"HKG","Comedy","5.30","2.70"
"sqm071800020m4","Girls vs Gangsters","Movie",2018,"CHN","Comedy","3.80","1.90"
"sqm071800021m4","The Monkey King 3","Movie",2018,"CHN","Adventure","5.40","2.70"
"sqm071800022m4","Operation Red Sea","Movie",2018,"CHN","Action","7.40","3.70"
"sqm071800023m4","Turn Around","Movie",2017,"TWN","Drama","6.70","3.40"
"sqm071800024m4","Chihayafuru Part 3","Movie",2018,"JPN","Drama","0.00","0.00"
"sqm071800025m4","Doraemon the Movie: Nobita’s Treasure Island","Movie",2018,"JPN","Animation","0.00","0.00"
"sqm071800026m4","Oh Lucy!","Movie",2017,"JPN","Comedy","0.00","0.00"
"sqm071800027m4","The Lies She Loved","Movie",2017,"JPN","Mystery","0.00","0.00"
"sqm071800028m4","Detective K: Secret of the Living Dead","Movie",2018,"KOR","Drama","5.80","2.90"
"sqm071800029m4","What a Man Wants","Movie",2018,"KOR","Drama","8.10","4.10"
"sqm071800030m4","True Fiction","Movie",2018,"KOR","Drama","8.10","4.10"
"sqm071800031m4","Ana Anak Ibu","Movie",2017,"MYS","Drama","0.00","0.00"
"sqm071800032m4","Posesif","Movie",2017,"IDN","Drama","7.60","3.80"
"sqm071800033m4","Bareilly Ki Barfi","Movie",2017,"IND","Comedy","7.50","3.80"
"sqm071800034m4","Raid","Movie",2018,"IND","Action","7.70","3.90"
"sqm071800035m4","Jagga Jasoos","Movie",2017,"IND","Comedy","6.50","3.30"
"sqm071800036m4","Thaanaa Serndha Koottam","Movie",2018,"IND","Action","7.30","3.70"
"sqm071800037m4","Aamhi Doghi","Movie",2018,"IND","Drama","8.00","4.00"
"sqm071800038m4","Billu Rakkhosh","Movie",2017,"IND","Drama","7.10","3.60"
"sqm071800039m4","Karsandas Pay and Use","Movie",2017,"IND","Comedy","7.80","3.90"
"sqm071800040m4","Krazzy Tabbar","Movie",2017,"IND","Comedy","5.30","2.70"
"sqm071800041m4","Fein Albi","Movie",2017,"EGY","Comedy","0.00","0.00"
"sqm071800042m4","Habbet Caramel","Movie",2018,"LBN","Comedy","7.90","4.00"
"sqm071800002h7","Tomb Raider (2018)","Movie",2018,"USA","Action","6.80","3.40"
"sqm071800003h7","Isle of Dogs","Movie",2018,"USA","Comedy","8.20","4.10"
"sqm071800004h7","The Commuter","Movie",2018,"GBR","Action","6.30","3.20"
"sqm081800001h7","Avengers: Infinity War","Movie",2018,"USA","Action","8.80","4.40"
"sqm081800002h7","Ready Player One","Movie",2018,"USA","Action","7.80","3.90"
"sqm081800003h7","A Quiet Place","Movie",2018,"USA","Thriller","8.00","4.00"
"sqm081800004m4","Rampage","Movie",2018,"USA","Action","6.50","3.30"
"sqm081800005m4","Backstabbing for Beginners","Movie",2018,"DNK","Drama","6.00","3.00"
"sqm081800006m4","I Kill Giants","Movie",2017,"BEL","Drama","6.40","3.20"
"sqm081800007m4","Lean on Pete","Movie",2017,"GBR","Drama","7.40","3.70"
"sqm081800008m4","The Miracle Season","Movie",2018,"USA","Drama","6.30","3.20"
"sqm081800009m4","Tully","Movie",2018,"USA","Drama","7.40","3.70"
"sqm081800010m4","Zoo","Movie",2018,"IRL","Family","8.20","4.10"
"sqm081800011m4","The Jungle Bunch","Movie",2017,"FRA","Family","5.00","2.50"
"sqm081800012m4","Belle and Sebastian, Friends for Life","Movie",2017,"FRA","Family","6.30","3.20"
"sqm081800013m4","La ch'tite famille","Movie",2018,"FRA","Comedy","5.70","2.90"
"sqm081800014m4","Carbone","Movie",2017,"FRA","Thriller","6.80","3.40"
"sqm081800015m4","A Jar Full of Life","Movie",2018,"DEU","Comedy","4.80","2.40"
"sqm081800016m4","Back Home","Movie",2018,"ITA","Comedy","5.00","2.50"
"sqm081800017m4","Road to Mars","Movie",2017,"MEX","Comedy","5.50","2.80"
"sqm081800018m4","London Love Story 2","Movie",2017,"IDN","Drama","0.00","0.00"
"sqm081800019m4","You & Me XXX","Movie",2017,"THA","Drama","0.00","0.00"
"sqm081800020m4","Furious","Movie",2017,"RUS","Action","6.30","3.20"
"sqm081800021m4","A Beautiful Moment","Movie",2018,"HKG","Comedy","7.10","3.60"
"sqm081800022m4","Concerto of the Bully","Movie",2018,"HKG","Comedy","6.70","3.40"
"sqm081800023m4","Detective Chinatown 2","Movie",2018,"CHN","Comedy","6.20","3.10"
"sqm081800024m4","A House of Happiness","Movie",2018,"MYS","Comedy","0.00","0.00"
"sqm081800025m4","Somewhere Beyond the Mist","Movie",2018,"HKG","Drama","6.00","3.00"
"sqm081800026m4","Crayon Shinchan the movie: Bakumori! Kung Fu Boys -Ramen Panic-","Movie",2018,"JPN","Comedy","0.00","0.00"
"sqm081800027m4","Kids On The Slope","Movie",2018,"JPN","Drama","7.90","4.00"
"sqm081800028m4","Last Hold!","Movie",2018,"JPN","Drama","0.00","0.00"
